"fips","POP","DENSITY","medianAge","MedianHInc","per_dem","per_gop"
29043,86983,154.59669401,37.9,57019,0.205464560081,0.747475479538
29045,6842,13.55908072,43.9,47955,0.218335343788,0.741254523522
29047,246365,619.52863243,37.1,68367,0.41361443467,0.524803866822
29049,20470,48.859373767,40.7,58510,0.252231048348,0.692164362067
29051,76796,196.15321488,38.5,57587,0.292718928639,0.660476101017
29053,17603,31.169370693,39,48750,0.24222668004,0.70498996991
29055,23957,32.266329366,41.7,38036,0.183870967742,0.778629032258
29057,7569,15.4466115,46.4,39979,0.161225006328,0.805871931157
29059,16762,30.986149278,43.5,41551,0.170833333333,0.792338709677
29061,8313,14.758020699,40.5,50380,0.197885605855,0.748983464353
29063,12630,29.974534791,40.2,50000,0.179520697168,0.771241830065
29065,15441,20.512494883,44.4,39916,0.144290351136,0.826054883446
29067,13373,16.436357306,47.6,34372,0.147659063625,0.823229291717
29069,29423,54.376175802,39.9,34186,0.223188954038,0.759031586911
29071,103670,112.3500744,40.8,55312,0.246558097712,0.707763013288
29073,14705,28.333068974,45.8,53439,0.204056958624,0.761687264911
29075,6628,13.487393132,41.5,42689,0.199472469502,0.759643916914
29077,291923,432.27101387,36,44808,0.332264965637,0.606438417353
29079,9914,22.775510579,40.8,42574,0.176750509857,0.784500339905
29081,8414,11.645403642,43,40168,0.155893536122,0.805268875611
29083,21792,31.267948361,44.2,43911,0.239066463724,0.717605276509
29085,9509,23.843565662,55,36190,0.215391138435,0.75026499894
29087,4404,9.5181880445,48.4,45610,0.147359454855,0.820272572402
29089,10137,21.856872778,39.3,50372,0.263656977943,0.675530818388
29091,40076,43.220348128,40.6,36143,0.165374677003,0.797473442435
29093,10177,18.494744148,45.4,37188,0.219014084507,0.744835680751
29095,700307,1158.458522,36.7,52805,0.556761646314,0.390314320401
29097,120636,188.93456764,36,46929,0.219286411092,0.727661429253
29099,224347,341.72825385,39,63030,0.297690834112,0.65087903066
29101,53652,64.698730214,30.1,53056,0.280931379523,0.649784227249
29103,3947,7.8312131782,44,40383,0.202999464381,0.756829137654
29105,35713,46.701926659,40.4,46192,0.159345823673,0.804185725923
29107,32598,51.871882635,42.3,54661,0.25589630098,0.694087891242
29109,38359,62.704977312,39.6,43373,0.173803526448,0.784694734317
29111,9855,19.513229938,40.3,47764,0.209568733154,0.750898472597
29113,57686,92.067552279,37,61628,0.22371967655,0.728607635676
29115,12037,19.553668033,42.1,43642,0.222361809045,0.732950466619
29117,15146,28.454001603,40.3,47885,0.19740948814,0.761392009988
29119,23078,42.77821718,38.3,42019,0.161423539415,0.801530426333
29121,15153,18.912701656,43.3,40007,0.200290275762,0.764480802217
29123,12188,24.652719184,42.1,41322,0.188980819857,0.771342610004
29125,8769,16.640157217,45,44436,0.176522899066,0.791240551356
29127,28592,65.439563561,39.1,46762,0.231979538056,0.729964346613
29129,3641,8.0227359653,43,44085,0.124209315699,0.854514088557
29131,25336,42.753830748,40.8,42718,0.153320483617,0.813474680217
29133,13336,32.401715045,40.4,32846,0.282284607938,0.696999031946
29135,16121,38.843161835,37.9,54828,0.18169800235,0.784958871915
29137,8664,13.377490255,45.4,43973,0.205690860863,0.761755485893
29139,11534,21.556984394,44,45862,0.206120943953,0.760324483776
29141,20358,34.064551195,46.1,37727,0.200567214974,0.766534316506
29143,17296,25.629175362,41.7,35399,0.262921653972,0.716811751904
29145,58266,93.262372307,39.7,49023,0.18818380744,0.775145250132
29147,22304,25.433194799,29.2,43349,0.267930924886,0.675813115796
29149,10541,13.346475734,46.8,32534,0.185463121784,0.786449399657
29151,13714,22.608732368,40.3,58476,0.141000282566,0.825798248093
29153,9017,12.103818237,51.3,32601,0.160853143746,0.808487002888
29155,16272,33.03181959,37.8,33390,0.322987551867,0.657925311203
29157,19150,40.37059618,40.6,54964,0.174072377462,0.790998625744
29159,42542,62.357760023,37.9,44382,0.239512330285,0.70889443059
29161,44732,66.587413625,35.2,42846,0.257365262987,0.686469538894
29163,18504,27.599833213,39.1,45753,0.244881355932,0.715118644068
29165,102985,245.32740582,38.3,76912,0.405544478034,0.535473081623
29167,32201,50.66822076,37.5,44892,0.191844773506,0.761178787658
29169,52014,95.070179073,27.7,51665,0.217064643309,0.734211113591
29171,4757,9.1955289468,46.4,37367,0.150298889838,0.826643894108
29173,10212,21.73778186,45,55546,0.216103304216,0.75370300038
29175,24763,51.29975603,39.1,46610,0.221456979338,0.730332718983
29177,22883,40.229653607,41.8,59857,0.285002307337,0.655560682972
